artist,song title,genre
Casual,I Didn't Mean To,Hip Hop/Rap
Adam Ant,Something Girls,Rock
Gob,Face the Ashes,Rock
Lionel Richie,Tonight Will Be Alright,R&B
Blue Rodeo,Floating,Rock
Tesla,Caught In A Dream,Rock
The Dillinger Escape Plan,Setting Fire to Sleeping Giants,Rock
Five Bolt Main,Made Like This (Live),Rock
Willie Bobo,Spanish Grease,Jazz
John Wesley,The Emperor Falls,Rock
Billie Jo Spears,It Makes No Difference Now,Country
The Rolling Stones,Angie (1993 Digital Remaster),Rock
Stevie Ray Vaughan,Crossfire,Blues
Casiotone For The Painfully Alone,Nashville Parthenon,Jazz
Eliane Elias,The More I See You,Jazz
Lost Boyz,Certain Things We Do,Hip Hop/Rap
The Germs,Forming,Rock
Chris Rea,Driving Home For Christmas,Rock
The Berzerker,Deform (live),Electronic
Kings Of Leon,Wicker Chair,Rock
NOFX,Stickin In My Eye,Rock
Van Halen,Panama (Remastered Album Version),Rock
Black Eyed Peas,Let's Get It Started,Hip Hop/Rap
Nine Inch Nails,Metal,Rock
Nick Cave & The Bad Seeds,She Fell Away (2009 Digital Remaster),Rock
Lesley Gore,It's My Party,Pop
Slim Whitman,Indian Love Call,Country
Savage Garden,You Can Still Be Free,Rock
Queens Of The Stone Age,I Never Came,Rock
Inspiral Carpets,Commercial Reign,Rock
Organized Konfusion,Hate,Hip Hop/Rap
Martina McBride,I Can't Stop Loving You,Country
Hot Tuna,Candy Man,Rock
Boyz II Men,On Bended Knee,R&B
Donny Hathaway,Little Girl (LP Version),Soul
Wolfmother,White Feather,Rock
Jupiter Rising,They Say (Album),Pop
Saafir,Crawl Before You Ball (Album Version),Hip Hop/Rap
The Verve Pipe,Medicate Myself,Rock
Maxi Priest,Groovin' In The Midnight,Ska
Porcupine Tree,Waiting,Rock
Foo Fighters,Hell,Rock
Robben Ford,I Got Over It (Album Version),Jazz
Britt Nicole,Hanging On (Medium Key Performance Track Without Background Vocals),Christian
Dolly Parton,Letter To Heaven,Country
Pearl Jam,Inside Job,Rock
Natalie Cole,Take A Look  (LP Version),R&B
DJ Quik,Born and Raised In Compton,Hip Hop/Rap
Hank Locklin,We're Gonna Go Fishin',Country
Diesel Boy,Cooler Than You,Rock
Cradle Of Filth,Summer Dying Fast,Rock
Test Icicles,Snowball,Electronic
Heaven 17,(We Don't Need This) Fascist Groove Thang,Rock
Dimmu Borgir,Master Of Disharmony,Rock
Sex Pistols,God Save the Queen (Live),Rock
Chris Brown,Forever,R&B
Hem,Have Yourself A Merry Little Christmas,Pop
Lily Allen,U Killed It,Pop
The Killers,Spaceman,Rock
Orbital,Illuminate,Electronic
Rage Against The Machine,Kick Out The Jams,Hip Hop/Rap
Rise Against,Amber Changing,Rock
Korn,Hey Daddy,Rock
Agnes,I Need You Now,Rock
Tantric,Walk Away,Rock
Mastodon,Shadows That Move,Rock
Korn,Ever Be,Rock
Extreme,Teacher's Pet,Rock
Prozak,Go To Hell,Hip Hop/Rap
Placebo,English Summer Rain,Pop
Soul Asylum,Lies Of Hate,Rock
Nightwish,Escapist,Rock
Silverstein,Always And Never (Album Version),Rock
The Notorious B.I.G.,Who Shot Ya (Amended Album Version),Hip Hop/Rap
Sandi Thom,Wounded Hearts,Pop
Gene Clark,Set You Free This Time,Rock
The Shirelles,Will You Love Me Tomorrow,R&B
Panic At The Disco,Northern Downpour (Album Version),Rock
Jan Howard,Bad Seed,Country
Sticky Fingaz,Oh My God,Hip Hop/Rap
The Jeff Healey Band,Hoochie Coochie Man,Blues
Danny Wilson,The Second Summer Of Love,Rock
Shawn Colvin,Another Long One,Rock
Backstreet Boys,Larger Than Life,Pop
Glad,Blessed Assurance,Christian
Tom Petty,A Higher Place (Album Version),Rock
Mitch Ryder,Jenny Take a Ride,Rock
Lupe Fiasco,Streets On Fire (Explicit Album Version),Hip Hop/Rap
Gwen Stefani,Harajuku Girls,Pop
Story Of The Year,Swallow The Knife (Live) (Segue),Rock
Natural Elements,Mayday,Hip Hop/Rap
Neil Sedaka,Because Of You,Pop
A Static Lullaby,Rattlesnake!,Rock
Nights Like These,Ghost Town Rituals (Album Version),Rock
Oasis,Morning Glory,Pop
Eddy Arnold,Just A Little Lovin' (Will Go A Long Way),Country
All Time Low,Shameless,Rock
UFO,Chains Chains (Live In Hammersmith),Rock
VHS Or Beta,The Melting Moon (Edit),Rock
Bullet For My Valentine,Suffocating Under Words Of Sorrow (What Can I Do),Rock
Beatnuts,Monster For Music,Hip Hop/Rap
Rise Against,Everchanging,Rock
Pursuit Of Happiness,Forbidden Fruit,Rock
Amy Winehouse,Stronger Than Me,R&B
Michael Card,Joy In The Journey (The Final Word Album Version),Christian
A Static Lullaby,God Bless You (Goddamn it),Rock
Scar Symmetry,The Illusionist,Rock
Eighteen Visions,Our Darkest Days,Rock
George Harrison,Hear Me Lord (2001 Digital Remaster),Rock
Weezer,Don't Let Go,Rock
Jackson United,Undertow,Rock
Creedence Clearwater Revived,Have You Ever Seen The Rain,Rock
Hatebreed,As Diehard As They Come (Album Version),Rock
Sister Hazel,Walls And Cannonballs (Album),Rock
Kings Of Leon,Knocked Up,Rock
Brooke Valentine,Taste Of Dis (Explicit Version),Hip Hop/Rap
Mary Black,Turning Away,Pop
Owl City,Panda Bear,Electronic
The Rascals,Nubia (LP Version),R&B
Shakira,Pienso En Ti,Pop
Blink-182,A New Hope,Rock
Abysmal Dawn,Compulsory Resurrection,Rock
Chaotica,Lobotomy,Rock
Neil Innes,Lie Down And Be Counted (2007 Digital Remaster),Pop
Siouxsie,Into A Swan,Rock
Zeromancer,Ammonite,Rock
Two Man Advantage,The Sweep,Rock
Green Day,Wake Me Up When September Ends (Live at Foxboro_ MA 9/3/05),Rock
Donny Hathaway,This Christmas (LP Version),Soul
Architecture In Helsinki,Heart it Races (Frank Tetaz Remix),Rock
Alice In Chains,Lesson Learned,Rock
Ini Kamoze,Here Comes The Hotstepper,Ska
Baroness,The Sweetest Curse,Rock
Placebo,Slave To The Wage,Pop
Metallica,Hit The Lights,Rock
Cauterize,Shooting Stars,Rock
Robben Ford,Something For The Pain,Jazz
Anti-Flag,This Is NOT a Crass Song,Rock
Rickie Lee Jones,Skeletons (Live Acoustic Version),Rock
Shelby Lynne,Old Times Sake,Country
Franz Ferdinand,Eleanor Put Your Boots On,Rock
James Taylor,Steamroller Blues,Pop
Kelly Clarkson,My Life Would Suck Without You,Rock
The Exies,Creeper Kamikaze,Rock
Buzzcocks,Strange Thing,Rock
3 Doors Down,It's Not Me,Rock
Ma Rainey,Ma Rainey's Black Bottom,Blues
Zombie Girl,I Want It,Electronic
Bone Thugs-N-Harmony,Murder One,Hip Hop/Rap
Mastodon,Deep Sea Creature,Rock
Radiohead,Subterranean Homesick Alien,Rock
Dave Hollister,Tell Me Why,Soul
DMX,Damien,Hip Hop/Rap
Jewel,Serve The Ego (Hani Num Dub),Rock
Nick Cave & The Bad Seeds,Still In Love,Rock
Bury Your Dead,Closed Eyes,Rock
G-Unit,Poppin' Them Thangs,Hip Hop/Rap
Saosin,Bury Your Head,Rock
Warren Barfield,Shadow,Christian
Dilated Peoples,Big Business,Hip Hop/Rap
Fever Ray,I'm Not Done,Electronic
Johnny Cash,I Got Stripes (Live),Country
Autumnblaze,Her Golden Robe In Silence Veiled,Rock
Kris Kristofferson,Same Old Song,Country
Gary Moore,Rockin' Every Night (Live),Rock
Christina Aguilera,Walk Away,Pop
Tammy Wynette,Stand By Your Man,Country
Whitesnake,Young Blood (2007 Digital Remaster),Rock
Ensiferum,Hero In A Dream,Rock
Red Hot Chili Peppers,Get On Top (Album Version),Rock
Tom Petty And The Heartbreakers,Mary Jane's Last Dance,Rock
John Hammond,Come To Find Out,Blues
Sweet,Airheads,Rock
Chimaira,The Flame,Rock
Snow Patrol,Chocolate,Rock
Sex Pistols,New York (Dave Goodman Demo Version) (Explicit),Rock
Bad Brains,Destroy Babylon,Rock
Raze,Follow Your Dreams (The Plan Album Version),Hip Hop/Rap
The Presets,Yippiyo-Ay,Electronic
Jennifer Lopez,Talk About Us,Pop
Silverstein,FRIENDS IN FALL RIVER  (LP Version),Rock
Alice In Chains,Brother,Rock
Matisyahu,Exaltation,Ska
Donny Hathaway,I Love You More Than You'll Ever Know (LP Version),Soul
Eddie Money,Two Tickets To Paradise,Rock
Cracker,Shake Some Action,Rock
Sade,Smooth Operator,R&B
Kenny Price,Biloxi,Country
3 Doors Down,Sarah Yellin',Rock
The Rapture,Killing,Rock
Dinosaur Jr,On The Brink,Rock
Snow Patrol,Half The Fun,Rock
The Box Tops,Neon Rainbow,Soul
Darwin Hobbs,You Are God (Broken Album Version),Christian
Tommy James & The Shondells,Crimson And Clover,Rock
Britney Spears,Don't Go Knockin' On My Door,Pop
Skeletonwitch,Sacrifice for the Slaughtergod,Rock
Kix,Cold Blood (LP Version),Rock
Maximilian Hecker,Full Of Voices,Pop
Whitesnake,Fool For Your Loving,Rock
Semisonic,If I Run,Rock
Novaspace,Guardian Angel,Electronic
Colin James,Sending A Message,Rock
John Mayer,Something's Missing,Rock
Dropline,Weight Of The World (Album Version),Rock
Furry Lewis,Judge Boushay Blues,Blues
Cancer Bats,Sabotage,Rock
DJ Quik,Pacific Coast Remix,Hip Hop/Rap
Blackalicious,Rock the Spot,Hip Hop/Rap
King Diamond,The Portrait (Live) (Reissue) (Album Version),Rock
Simple Minds,Careful In Career,Rock
Rihanna,Don't Stop The Music,R&B
Dokken,Disease,Rock
Guns N' Roses,Mama Kin,Rock
Skrape,Searching For Home,Rock
Silverchair,Cicada,Rock
Metallica,The End Of The Line,Rock
Casiotone For The Painfully Alone,Rice Dream Girl,Jazz
Mando Diao,Misty Mountains,Rock
Donnie McClurkin,All I Ever Really Wanted,Christian
Lost Boyz,Get Your Hustle On,Hip Hop/Rap
Suicidal Tendencies,Human Guinea Pig,Rock
Jennifer Brown,Naked,Pop
Pepper,Freeze,Rock
Red Hot Chili Peppers,Naked In The Rain (Album Version),Rock
Jonny Lang,The One I Got,Christian
Novembre,Triesteitaliana,Rock
Donna The Buffalo,Tides Of Time,Rock
Little Feat,Down On The Farm (2006 Remastered Edit Version),Pop
Death From Above 1979,Romantic Rights,Rock
Foo Fighters,If Ever,Rock
Eyehategod,Left To Starve,Rock
The Antlers,Stairs To the Attic,Pop
Open Hand,The Ambush,Rock
Kanye West,Through The Wire,Hip Hop/Rap
Lloyd Banks,South Side Story,Hip Hop/Rap
Sister Hazel,Space Between Us (Album Version),Rock
Kris Kristofferson,Darby's Castle,Country
Bad Religion,Doing Time (Album Version),Rock
Shawn Colvin,Sunny Came Home,Rock
Mobb Deep,Got It Twisted,Hip Hop/Rap
Marty Robbins,Have Thine Own Way Lord,Country
Cool For August,Don't Wanna Be Here (Album Version),Rock
Monster Magnet,CNN War Theme,Rock
Nirvana,Heart-Shaped Box,Rock
Randy Travis,Down At The Old Corral (Album Version),Country
The Black Crowes,Nonfiction,Rock
G-Unit,Money Make The World Go Around,Hip Hop/Rap
Mat Kearney,Never Be Ready,Rock
Julie Roberts,Unlove Me,Country
The Presets,If I Know You,Electronic
Irma Thomas,River Is Waiting,Blues
The Cardigans,Iron Man,Rock
Connie Francis,Embraceable You (LP Version from 'When The Boys Meet The Girls'),Pop
Silverchair,Suicidal Dream,Rock
U2,New York,Rock
Shakira,Did It Again (featuring Kid Cudi),Pop
Erik Hassle,Don't Bring Flowers,Pop
Soul Embraced,Someday (Immune Album Version),Rock
Nick Cave & The Bad Seeds,The Hammer Song (2010 Digital Remaster),Rock
Avril Lavigne,Innocence,Rock
Chimaira,Severed (demo) (Album Version),Rock
Bumblefoot,Abnormal (Acoustic),Rock
Hem,Redwing,Pop
Coven,Coven In Charing Cross,Rock
Snow Patrol,Shut Your Eyes,Rock
Dead Prez,Be Healthy,Hip Hop/Rap
Black Flag,Jealous Again,Rock
Muse,Stockholm Syndrome,Rock
The Velvet Underground,I Heard Her Call My Name,Rock
Little Eva,The Loco-Motion,Pop
Simple Minds,Chelsea Girl (Live),Rock
The Killers,Show You How,Rock
David Bowie,Space Oddity (1997 Digital Remaster),Rock
Charlotte Gainsbourg,Tel Que Tu Es,Pop
Aerosmith,Lord Of The Thighs,Rock
Del Tha Funkee Homosapien,Mistadobalina,Hip Hop/Rap
Rihanna,Good Girl Gone Bad,R&B
Britney Spears,Everytime,Pop
Rise Against,State Of The Union,Rock
Helmet,Your Head,Hip Hop/Rap
Shaman,For Tomorrow (live),Electronic
K-OS,Clap Ur Handz,Hip Hop/Rap
Delbert McClinton,Lose Your Money,Country
MC5,Miss X (LP Version),Rock
Washboard Sam,Bucket's Got A Hole In It,Blues
Tammy Wynette,Welcome To My World (Live),Country
Fun Lovin' Criminals,We Have All The Time In The World (Live),Hip Hop/Rap
OutKast,Happy Valentine's Day,Hip Hop/Rap
Warrant,Cherry Pie,Rock
Righteous Brothers,See That Girl,Pop
Randy Travis,Wind In The Wire (Album Version),Country
Tonic,Where Do I Fit,Rock
Dave Hollister,Bad When U Broke,Soul
Thomas Dolby,One Of Our Submarines,Rock
Randy Travis,On The Other Hand (Remastered Album Version),Country
Aerosmith,Angel,Rock
Michael McDonald,Love Can Break Your Heart (LP Version),Pop
The Pineapple Thief,Snowdrops,Rock
Buddy Jewell,Sweet Southern Comfort,Country
House Of Lords,Rock Bottom,Rock
Fun Lovin' Criminals,Love Unlimited (Explicit),Hip Hop/Rap
Chaotica,Turbocharger,Electronic
Placebo,Hardly Wait,Rock
Kraftwerk,Computer Love (2009 Digital Remaster),Electronic
FFH,Great Big Problem,Christian
NOFX,My Heart Is Yearning,Rock
GWAR,Let's Blame The Lightman,Rock
Sick Puppies,Master Of The Universe,Rock
Geggy Tah,Gina,Jazz
Loretta Lynn,I Can't Feel You Anymore,Country
Mista,I'll Sweat You (LP Version),Electronic
The Fray,Vienna,Rock
Skeeter Davis,He Says The Same Things To Me,Country
Skeeter Davis,Foggy Mountain Top,Country
Pepper,Stormtrooper (Live),Rock
The Rolling Stones,Time Is On My Side,Rock
Twila Paris,We Will Glorify (Key-B-Db-Premiere Performance Plus),Christian
Bob Carlisle,Man Of No Reputation,Christian
Eminem,Ricky Ticky Toc,Hip Hop/Rap
Barry Manilow,Come Monday,Pop
Dexys Midnight Runners,Until I Believe In My Soul,Rock
Jimi Hendrix,Voodoo Chile Blues,Rock
Tommy Castro,Sho' Enough,Blues
William Orbit,The Monkey King,Rock
Point Of Grace,Amazing (LP Version),Christian
Jack Johnson,You And Your Heart,Rock
Blue October,My Never,Rock
X,Motel Room In My Bed (LP Version),Rock
Jimi Hendrix,Fire,Rock
Phil Collins,Welcome,Pop
Teena Marie,Light,R&B
Mindless Self Indulgence,Never Wanted to Dance (Live In London),Electronic
Jim Bryson,Somewhere Else,Country
Information Society,More to This,Electronic
Foo Fighters,X-Static,Rock
U2,Vertigo,Rock
Pursuit Of Happiness,Hard To Laugh,Rock
Gym Class Heroes,New Friend Request (Amended Version),Hip Hop/Rap
Frankee,Gotta Man,Hip Hop/Rap
Operator,Soulcrusher (Amended Album Version),Rock
The Stooges,T.V. Eye (Take 3),Rock
Snow Patrol,Chasing Cars,Rock
Moonspell,Tired,Rock
Heaven 17,Resurrection Man,Rock
The Suicide Machines,Your Silence,Rock
Vaselines,Teenage Superstars (Album),Rock
Alice In Chains,Sickman,Rock
Seal,Prayer For The Dying (Album Version),Pop
The Pineapple Thief,Boxing Day,Rock
Ziggy Marley And The Melody Makers,What's True,Ska
Static-X,Love Dump (Clean Album Version),Rock
Sleepy John Estes,Street Car Blues,Blues
The Black Crowes,Girl From A Pawnshop,Rock
Foo Fighters,Razor,Rock
Hot Chip,Hold On,Electronic
Mudhoney,It Is Us,Rock
Latif,Luv In the First,R&B
Rickie Lee Jones,Love Is Gonna Bring Us Back Alive,Rock
The Stranglers,It Only Takes Two To Tango,Rock
Babe Ruth,Dancer (2007 Digital Remaster),Pop
Emperor,With Strength I Burn,Rock
Uriah Heep,Wake The Sleeper,Rock
Margaret Becker,Start The Fire,Christian
Sugarbomb,Gone,Rock
Paloalto,Seed,Rock
Margaret Becker,Stay Close To Me,Rock
April Wine,Say Hello,Rock
Al Denson,Love Is Taking Hold,Christian
Whitesnake,Love Ain't No Stranger (2003 Digital Remaster),Rock
Twista,The Day After (featuring Syleena Johnson) (Explicit Chopped & Screwed Version),Hip Hop/Rap
The Police,Wrapped Around Your Finger,Rock
Shania Twain,Raining On Our Love,Country
The High Strung,The Luck You Got,Rock
Pursuit Of Happiness,Down On Him,Rock
K-OS,Heaven Only Knows,Hip Hop/Rap
Dave Hollister,I'm Wrong,Soul
Whitesnake,Don't Mess With Me (2006 Digital Remaster),Rock
Mirah,Apples in the Trees (Live),Rock
Dee Clark,Just Keep It Up,R&B
Tom Cochrane,Revelations:  Visions In A Dream,Rock
From Autumn To Ashes,Sensory Deprivation Adventure,Rock
Casiotone For The Painfully Alone,Dying Batteries,Jazz
James Taylor,One More Go Round,Rock
Gang Starr,Say Your Prayers,Hip Hop/Rap
Hurricane,I'm On To You,Rock
Wayne Watson,Somebody Sing,Christian
Petra,Don't Let Your Heart Be Hardened (This Means War Album Version),Christian
Avril Lavigne,How Does It Feel,Rock
Crabby Appleton,Go Back,Rock
Lil Boosie,I Remember (amended album version),Hip Hop/Rap
Wilshire,When,Christian
Cowboy Mouth,Disconnected,Rock
Alice In Chains,I Know Somethin (Bout You),Rock
Amoral,The Last Round,Rock
L.A. Guns,Magdalaine,Rock
UFO,Out In The Street (Live In Cleveland_ Ohio),Rock
Lizzy Borden,There Will Be Blood Tonight,Rock
Mike And The Mechanics,Nobody's Perfect,Rock
Atari Teenage Riot,Destroy 2000 Years Of Culture,Electronic
Jeff Beck Group,Jody,Rock
Katie Armiger,Love Without Fear,Country
Hot Tuna,Death Don't Have No Mercy,Rock
Bob Wills,Bubbles in My Beer,Country
Fat Joe,Prove Something (explicit album version),Hip Hop/Rap
Blue Rodeo,Mystic River,Rock
Ice Cube,Why We Thugs (edited version),Hip Hop/Rap
Radney Foster,Again,Country
Simon & Garfunkel,Old Friends,Pop
Dark Fortress,Evenfall,Rock
Ayo,Down On My Knees,R&B
Mindy McCready,Be With Me,Country
BT,Knowledge Of Self (Evol Intent Remix),Electronic
Geggy Tah,Special Someone,Rock
Bumblefoot,Piranha,Rock
Red Hot Chili Peppers,Venice Queen (Album Version),Rock
Peter Tosh,Soon Come (2002 Digital Remaster),Pop
Blind Willie Johnson,If I Had My Way I'd Tear This Building Down,Blues
Bob Marley,Small Axe,Ska
A Tribe Called Quest,Scenario,Hip Hop/Rap
Dark Fortress,Ghastly Indoctrination,Rock
Jeff Beck Group,Ice Cream Cakes,Rock
Kings Of Leon,Genius,Rock
Michael Jackson,Just A Little Bit Of You,R&B
Kraftwerk,Pocket Calculator (2009 Digital Remaster),Electronic
Stevie Ray Vaughan And Double Trouble,Mary Had A Little Lamb,Rock
L7,This Ain't Pleasure,Rock
Moments In Grace,Broken Promises (album version),Rock
Connie Smith,I'll Come Running,Country
Nine Inch Nails,Survivalism,Rock
Suicidal Tendencies,Two-Sided Politics,Rock
Eminem,Beautiful,Hip Hop/Rap
Mariah Carey,Mine Again,Pop
Frankie J,Gone,R&B
Bob Marley,Lively Up Yourself,Ska
Buzzcocks,Get On Our Own,Rock
Backstreet Boys,Shape Of My Heart,Pop
Korn,Proud,Rock
Devo,Soo Bawlz,Rock
Rihanna,Music Of The Sun,R&B
Matisyahu,Refuge,Ska
Ashton Shepherd,Old Memory,Country
Tom Cochrane,Washed Away,Rock
Gov't Mule,Broke Down On The Brazos (Album),Rock
Sir Douglas Quintet,She's About A Mover,Rock
Michelle Tumes,Christe Eleison (Christ Have Mercy) (Center Of My Universe Album Version),Christian
OutKast,Call Of Da Wild,Hip Hop/Rap
Michael Jackson,Dirty Diana,R&B
Rea_ Chris,E,Rock
Baby D,Let Me Be Your Fantasy,Electronic
Patti Smith,Wing,Rock
The Fabulous Thunderbirds,Why Get Up,Rock
Van Halen,Can't Stop Lovin' You (Remastered Album Version),Rock
Wolfmother,Dimension,Rock
Suicidal Tendencies,It's Going Down,Rock
Adam Ant,Friend Or Foe,Rock
Rainbow,Can't Happen Here,Rock
Kathy Mattea,The Southern Soldier Boy,Country
White Heart,Edge Of The Dream (Emergency Broadcast Album Version),Christian
Chuck Wicks,If We Loved,Country
Beyoncé,Ring The Alarm,R&B
Steve Vai,Brother,Rock
Mighty Mighty Bosstones,Patricia,Ska
Michael Jackson,We're Almost There,R&B
45 Grave,Party Time,Rock
The Ataris,The Hero Dies in This One,Rock
Fall Out Boy,Dance_ Dance,Rock
White Heart,Hold On,Christian
Patty Griffin,Moses,Rock
The Doors,Strange Days ( LP Version ),Rock
40 Grit,A Part Of Me,Rock
Johnny Horton,Got The Bull By The Horns,Country
Britt Nicole,Don't Worry Now (Performance Track In Key Of Db Without Background Vocals),Christian
Carl Smith,Loose Talk,Country
Patsy Cline,I Cried All The Way To The Altar,Country
Bad Company,Valerie (LP Version),Rock
Incubus,Warning,Rock
Bryan Ferry,Wildcat Days (1999 Digital Remaster),Rock
Santana,Let It Shine,Blues
Janet Jackson,When I Think Of You,R&B
Chris Brown,So Glad,R&B
