artist,song title,genre
Lollipop Lust Kill,No Answer (Outro),Rock
Agnostic Front,Undertow,Rock
Kenny G,Don't Make Me Wait For Love,Jazz
Frederick Knight,I've Been Lonely (For So Long),R&B
Phantom Planet,Leader (Album Version),Rock
Amil,Anyday,Hip Hop/Rap
Circle Jerks,Paid Vacation,Rock
30 Seconds To Mars,Night of the Hunter (Static Revenger Remix),Rock
Hatebreed,Boxed In (Subzero),Rock
Jennifer Lopez,Play,Pop
Twista & The Speedknot Mobstaz,Warm Embrace (LP Version),Hip Hop/Rap
Pursuit Of Happiness,No Safe Place,Rock
Redman,Jam 4 U,Hip Hop/Rap
Silverstein,BLEEDS NO MORE (Live Version),Rock
Twista,It Feels So Good (Album Version),Hip Hop/Rap
Kings Of Leon,Day Old Blues,Rock
Sex Pistols,Seventeen,Rock
Atari Teenage Riot,Revolution Action,Electronic
Scott Weiland,The Date ( LP Version ),Rock
Kris Kristofferson,Killer Barracuda,Country
Bravehearts,Sensations,Hip Hop/Rap
Jason Mraz,Did You Get My Message?  (Live From Shubas),Rock
Lil' Romeo,Don't Want To,Hip Hop/Rap
Seal,The Beginning (Giro E Giro Mix),Pop
Curtis Mayfield,Superfly (Single Mix Version),R&B
Sugar Ray,Mean Machine (Remastered LP Version),Rock
Rick Astley,You Move Me,Pop
FFH,Why Do I,Christian
Britt Nicole,Set The World On Fire,Christian
Toni Braxton,He Wasn't Man Enough,R&B
Van Halen,Panama (Album Version),Rock
Burning Spear,Tumble Down,Ska
Mungo Jerry,Alright_ Alright_ Alright,Rock
Wyclef Jean,Heaven's In New York,Hip Hop/Rap
Thomas Dolby,Screen Kiss,Rock
The Distillers,Oh Serena,Rock
Amil,Get Down,Hip Hop/Rap
It Dies Today,Sixth of June,Rock
Dean Martin,Pennies From Heaven,Jazz
Emperor,In the Wordless Chamber,Rock
Uriah Heep,Ghost of the Ocean (Live),Rock
Sasha,Owner Of My Heart (Album Version),Electronic
30 Seconds To Mars,Hunter,Rock
Silverstein,MY CONSOLATION (LP Version),Rock
Mando Diao,All My Senses,Rock
The Clash,Lose This Skin,Rock
Madonna,Bedtime Story (Album Version),Pop
The Rolling Stones,Fortune Teller,Rock
Jah Cure,To Your Arms of Love,Ska
Nightwish,Sleepwalker,Rock
The Police,Voices Inside My Head,Rock
Zeromancer,Mosquito Coil,Rock
Al Denson,Rain Love,Christian
Leona Naess,Heavy Like Sunday,Rock
Phil Collins,Dance Into The Light (LP Version),Rock
Kathy Mattea,Standing Knee Deep In a River (Dying Of Thirst),Country
Santana,Persuasion,Blues
Behemoth,He Who Breeds Pestilence,Rock
Sylver,Sympathy,Dance
Shakira,Poem To A Horse,Pop
Taking Dawn,Black Diamond,Rock
Eminem,Paul,Hip Hop/Rap
Dixie Chicks,Lullaby,Country
Wyclef Jean,Something About Mary,Hip Hop/Rap
Phil Collins,That's What You Said  (LP Version),Rock
Phil Collins,I Cannot Believe It's True,Rock
Rickie Lee Jones,It Must Be Love (Live Acoustic Version),Rock
No Address,Pretty Girl (Amended Version),Rock
Rihanna,The Hotness (ft. Shontelle),R&B
Helmet,Everybody Loves You,Hip Hop/Rap
The Cure,Lost,Rock
K's Choice,A Sound That Only You Can Hear,Rock
The Police,Man In A Suitcase,Rock
Oasis,Columbia,Pop
Don Gibson,Who Cares,Country
Bruce Springsteen,Rosalita (Come Out Tonight),Rock
Devo,The 4th Dimension (LP Version),Rock
Alicia Keys,Heartburn,R&B
My Chemical Romance,Interlude (Album Version),Rock
Hot Chip,Ready For The Floor (Radio Edit),Electronic
OutKast,Wailin',Hip Hop/Rap
Hank Locklin,Send Me The Pillow You Dream On,Country
Bad Religion,The Lie,Rock
Jessica Simpson,Take My Breath Away,Pop
Don Gibson,Blue Blue Day,Country
Alicia Keys,If I Was Your Woman,R&B
Mariah Carey,Clown,Pop
Kane,All I Can Do,Rock
Aswad,Your Recipe,Ska
Jonny Lang,One Person At A Time,Christian
Jennifer Lopez,We Gotta Talk,Pop
Cowboy Mouth,Jenny Says,Rock
Gang Starr,Mostly Tha Voice (Explicit),Hip Hop/Rap
Vixen,American Dream,Electronic
Metallica,Metal Militia,Rock
Johnny Horton,The Woman I Need (Honky Tonk Mind),Country
Dixie Chicks,Hole In My Head,Country
Janis Joplin,Get It While You Can,Rock
Bad Company,Simple Man,Rock
King Diamond,Shrine (Reissue) (Album Version),Rock
Jay & The Americans,Let's Lock The Door (And Throw Away The Key),Rock
Dilated Peoples,World On Wheels,Hip Hop/Rap
Foo Fighters,Overdrive,Rock
Akon,Don't Matter,R&B
Slipknot,Gently (Album Version),Hip Hop/Rap
The Ataris,I Won't Spend Another Night Alone,Rock
Chris Brown,I Love U,R&B
Dropkick Murphys,Going Strong (Album Version),Rock
Beyoncé,Single Ladies (Put A Ring On It),R&B
Belle and Sebastian,I Could Be Dreaming,Rock
Tom Petty,Wildflowers (Album Version),Rock
Annie Lennox,A Whiter Shade Of Pale,Pop
Blink-182,All Of This,Rock
Dimmu Borgir,The Chosen Legacy,Rock
Shakira,Donde Estas Corazon,Pop
Petra,Hollow Eyes (Beat The System Album Version),Christian
James Taylor,Down In The Hole,Rock
Soulwax,Soul Simplicity,Rock
Sister Hazel,Come Around (Acoustic),Rock
The Strokes,Between Love & Hate,Rock
Britney Spears,My Prerogative,Pop
Cockney Rejects,Oi! Oi! Oi!,Rock
Billie Jo Spears,What I've Got In Mind,Country
UFO,Out In The Street,Rock
Busta Rhymes,Genesis,Hip Hop/Rap
To My Surprise,Easy or Not (Album Version),Rock
Bob Dylan,Trying To Get To Heaven,Rock
Snow Patrol,Spitting Games,Rock
Rise Against,Drones,Rock
Lesley Gore,It's My Party,Pop
Thrice,The Earth Isn't Humming,Rock
Snow Patrol,New Sensation,Rock
Salt The Wound,From My Hands,Rock
The Misfits,The Haunting,Rock
Dickies,Just Say Yes,Rock
Audio Adrenaline,Some Kind Of Zombie (Criscoteque Remix),Rock
Kiss,Radar For Love,Rock
Back Door Slam,Heavy On My Mind (Album Version),Rock
The Jam,The Modern World,Rock
Ann Lee,So deep,Pop
Carl Belew,Am I That Easy To Forget,Country
Grizzly Bear,Little Brother,Pop
George Jones,Ol' Frank,Country
Julie Roberts,The Chance,Country
Natalie Cole,The Gift,R&B
Teena Marie,Playboy,R&B
Amorphis,Misery Path (From the Privilege of Evil),Rock
Britney Spears,3,Pop
Thrice,Red Sky,Rock
Amorphis,Crimson Wave,Rock
Lost Boyz,What's Wrong,Hip Hop/Rap
Anti-Flag,On Independence Day,Rock
Helmet,Street Crab,Hip Hop/Rap
3OH!3,CHOKECHAIN (Amended Album Version),Hip Hop/Rap
The Ataris,Whatever Lies Will Help You Rest,Rock
Michael Card,Joy In The Journey (The Final Word Album Version),Christian
Nine Inch Nails,Sin,Rock
Bob Marley & The Wailers,Smile Jamaica,Ska
Taking Back Sunday,Catholic Knees (Album Version),Rock
Belphegor,The Sukkubus Lustrate,Rock
Brian Littrell,Wish,Pop
Arctic Monkeys,Fake Tales Of San Francisco,Rock
Seven Mary Three,Hammer & a Stone,Rock
Sunscreem,Perfect Motion,Electronic
Coldplay,Speed Of Sound (Live),Rock
Bloc Party,One More Chance,Rock
George Huff,Have Yourself A Merry Little Christmas (LP Version),Pop
The Smashing Pumpkins,Real Love,Rock
Rihanna,We Ride,R&B
Oceansize,New Pin (edit),Rock
Blackalicious,World Of Vibrations (Album Version),Hip Hop/Rap
Dishwalla,Moisture,Rock
Happy Mondays,Olive Oil,Rock
Aiden,Black Market Hell,Rock
Eastmountainsouth,Hard Times,Pop
David Phelps,One King (Album Version),Christian
Darden Smith,Perfect Moment,Blues
VHS Or Beta,You Got Me (The Juan Maclean Dub),Rock
Righteous Brothers,Little Latin Lupe Lu,Pop
Kane,Rain Down On Me,Rock
Foals,Red Socks Pugie,Rock
Faith Hill,I Want You (Album Version),Country
Liquid Gang,I Applaud You  (LP Version),Rock
Carolyn Arends,Happy,Christian
Devo,Going Under,Rock
Tracy Byrd,Walking To Jerusalem,Country
Casiotone For The Painfully Alone,White Jetta,Jazz
Michael Card,Arise_ My Love (Song Of Solomon),Christian
Rachael Starr,Till There Was You (John Creamer & Stephane K Remix),Electronic
Rancid,Meteor Of War (Album Version),Ska
Circle Jerks,Question Authority,Rock
Nick Cave & The Bad Seeds,Wings Off Flies (2009 Digital Remaster),Rock
The Gathering,Gaya's Dream,Electronic
Jefferson Starship,Fading Lady Light,Rock
Amy Winehouse,Valerie,R&B
Eazy-E,I'mma Break It Down,Hip Hop/Rap
Heaven 17,Come Live With Me (12'' Extended Version) (2006 Digital Remaster),Rock
Faron Young,It's Four In The Morning,Country
Dixie Chicks,Give It Up Or Let Me Go,Country
Loretta Lynn,I'd Rather Have Jesus,Country
Fake Problems,Tabernacle Song,Rock
Eurythmics,A Little Of You,Pop
Yellowcard,One Year_ Six Months,Rock
Elvenking,Trows Kind,Rock
Jason Michael Carroll,No Good In Goodbye,Country
Michael Jackson,I Wanna Be Where You Are,R&B
Mariah Carey,Someday,Pop
Helmet,Give It,Hip Hop/Rap
Dax Riggs,Radiation Blues,Blues
Creedence Clearwater Revisited,Proud mary,Rock
Elvenking,A Fiery Stride (Ltd. Edition Bonus),Rock
Fernando Ortega,Don't Let Me Come Home A Stranger (LP Version),Christian
Amorphis,Into Hiding,Rock
Tammy Wynette,I Stayed Long Enough,Country
LL Cool J,Headsprung,Hip Hop/Rap
Kris Kristofferson,Snakebit,Country
The All American Rejects,The Future Has Arrived,Rock
Camp Lo,Sparkle,Hip Hop/Rap
Daniel Johnston,High Horse,Jazz
Marc Broussard,Going Home (Album Version),Pop
Lifer,Breathless,Rock
Future Leaders of the World,Spotlight,Rock
Zeromancer,The Death Of Romance,Rock
Deftones,Lotion (LP Version),Rock
Jesse Malin,Going Out West,Rock
Naughty By Nature,Family Tree,Hip Hop/Rap
Michael Jackson,Girl You're So Together,R&B
Stephen Marley,Mind Control,Ska
Novembre,Reason,Rock
Berlin,Blink Of An Eye (Alternative),Rock
Leon Russell,Out In The Woods,Country
Pearl Jam,You Are,Rock
Shai Hulud,We Who Finish Last,Rock
Y&T,Contagious,Rock
Story Of The Year,Meathead (Album Version) (Non-PA),Rock
Atomship,Whitfield,Rock
Patti Smith Group,Wave,Rock
ATB,Believe In Me (Clubb Mix),Electronic
Shania Twain,Two Hearts One Love,Country
Evanescence,Missing (Live in Europe),Rock
Faith Hill,Unsaveable (Album Version),Country
Suicidal Tendencies,Monopoly On Sorrow,Rock
Dark new Day,Free (Album Version),Rock
Peter Gallagher,Everytime It Rains,Jazz
Rickie Lee Jones,Away From The Sky,Rock
Raze,Celebration (The Plan Album Version),Hip Hop/Rap
Bebo Norman,Sunday,Christian
Van Halen,Runaround (Live Version),Rock
Faith Hill,Red Umbrella (Album Version),Country
Happy Mondays,Grandbag's Funeral,Rock
Letters To Cleo,Co-Pilot (Album Version),Rock
Bad Company,Call On Me,Rock
Marshall Crenshaw,Rave On (Live 1982),Rock
Kiss,Every Time I Look At You,Rock
Guns N' Roses,Catcher In The Rye,Rock
Danielle Bollinger,When the Broken Hearted Love Again,Electronic
Missy Higgins,The Special Two (Australian Version),Pop
Dropkick Murphys,The Only Road (Album Version),Rock
Carpenters,An Old Fashioned Christmas,Rock
Sick Of It All,Consume (LP Version),Rock
3 Doors Down,Be Like That,Rock
DMX,I'ma Bang,Hip Hop/Rap
The White Stripes,A Martyr For My Love For You,Rock
Rick Astley,Never Gonna Give You Up,Pop
The Berzerker,Pure Hatred,Electronic
Mungo Jerry,Pushbike Song,Rock
Bone Thugs-N-Harmony,Servin' Tha Fiends,Hip Hop/Rap
Bad Religion,Infected,Rock
Gwen Stefani,What You Waiting For?,Pop
Juelz Santana,There It Go (The Whistle Song),Hip Hop/Rap
The Game,Da Shit,Hip Hop/Rap
Jesse Malin,Since You're In Love,Rock
Franz Ferdinand,No You Girls,Rock
The Prodigy,What Evil Lurks,Electronic
Kyle Riabko,Doesn't Get Much Better,Rock
Y&T,Mean Streak,Rock
Scar Symmetry,Abstracted,Rock
Nick Cave & The Bad Seeds,Loverman,Rock
Slick Rick,Kill Niggaz,Hip Hop/Rap
Rihanna,Breakin' Dishes,R&B
The Fray,Absolute,Rock
Santana,Interplanetary Party,Blues
Roger Sanchez,Lost,Electronic
Shawn Colvin,These Four Walls,Rock
Simple Minds,See The Lights (2002 Digital Remaster),Rock
Franz Ferdinand,Do You Want To,Rock
Aswad,Ina Your Rights,Ska
Kanye West,School Spirit Skit 2,Hip Hop/Rap
Guns N' Roses,You're Crazy,Rock
Ned Miller,From a Jack To a King,Country
The Shangri-Las,Out in the Streets,Pop
MxPx,You Found Me,Rock
Tony Joe White,If I Ever Saw A Good Thing (Album Version),Rock
Akon,Lonely,R&B
Gym Class Heroes,To Bob Ross With Love (Album Version),Hip Hop/Rap
Stellar Kart,I Give Up (Album Version),Christian
Bon Jovi,The Distance,Rock
FFH,You And Only You,Christian
Hanoi Rocks,Mental Beat,Rock
Phantom Planet,After Hours,Rock
Vonray,Part Of Me (LP Version),Rock
Dionne Warwick,I've Been Loving You Too Long (LP Version),R&B
Michael Stanley Band,He Can't Love you,Rock
Jesse Malin,Broken Radio,Rock
Twila Paris,Come Emmanuel (House Of Worship Album Version),Christian
Leona Naess,Star Signs,Rock
Set Your Goals,summer jam,Rock
Marty Robbins,A Castle In The Sky,Country
Urge Overkill,Crackbabies,Rock
Mint Condition,Call Me,R&B
Erin O'Donnell,You Were The One (Wide Wide World Album Version),Christian
Annie Lennox,Little Bird,Pop
Mudhoney,New Meaning,Rock
Wyclef Jean,Guantanamera,Hip Hop/Rap
Bukka White,Sleepy Man Blues,Blues
Static-X,Night Terrors (Album Version),Rock
Iggy Pop,Main Street Eyes,Rock
Billie Jo Spears,Misty Blue,Country
Jennifer Lopez,Still,Pop
Sister Hazel,Vacation Rain (Album),Rock
Justin Timberlake,Love Don't Love Me (Justin Timberlake) (Amended Version),Pop
Sade,Morning Bird,R&B
Slipknot,Skin Ticket (Live version) (Album Version),Hip Hop/Rap
Owl City,On The Wing,Electronic
Keb' Mo',The Door,Blues
Brooke White,Hold Up My Heart,Rock
The Ocean,Eoarchaean,Rock
Tones On Tail,Burning Skies,Rock
City High,What Would You Do?,R&B
Martina McBride,Heart Trouble,Country
Reach 454,6 Yrs (Album Version ),Rock
John Mellencamp,Down And Out In Paradise,Rock
Soulwax,Kill Your Darlings,Rock
Every Time I Die,Your Touch Versus Death,Rock
The Killers,A White Demon Love Song (Soundtrack Album Version),Rock
DeGarmo & Key,Jericho  (Straight On Album Version),Christian
Jack Johnson,Adrift,Rock
Blue Rodeo,Fools Like You,Rock
Bob Marley & The Wailers,Three Little Birds,Ska
New York Dolls,Trash (live Paris),Rock
Kool Moe Dee,Death Blow,Hip Hop/Rap
Martina McBride,Anything's Better Than Feelin' The Blues,Country
April Wine,Babes In Arms,Rock
Mariah Carey,Honey,Pop
Black Flag,Out Of This World,Rock
Neil Diamond,Song Sung Blue,Rock
Evanescence,Good Enough,Rock
Lighthouse Family,Ocean Drive,Pop
Hatebreed,Mark My Words (Album Version),Rock
Small Faces,Itchycoo Park,Rock
The Rolling Stones,Stop Breaking Down (1994 Digital Remaster),Rock
Taking Back Sunday,I Am Fred Astaire (Album Version),Rock
Cindy Morgan,I Will Be Free (LP Version),Christian
Coldplay,The World Turned Upside Down,Rock
Deftones,Korea (LP Version),Rock
4Him,He Never Changes,Christian
Tammy Wynette,It Is No Secret (What God Can Do),Country
Billie Jo Spears,'57 Chevrolet,Country
White Heart,Speed Of Sound (Emergency Broadcast Album Version),Christian
Thrice,All That's Left,Rock
Eleanor McEvoy,Easy To Lose Hope,Rock
MxPx,Drum Machine Joy,Rock
Electric Light Orchestra,Queen Of The Hours (2001 Digital Remaster),Rock
Bone Thugs-N-Harmony,2 Glocks,Hip Hop/Rap
Rihanna,Good Girl Gone Bad,R&B
Nick Cave & The Bad Seeds,Christina The Astonishing (2010 Digital Remaster),Rock
Melissa Auf der Maur,The Key,Rock
System of a Down,Streamline,Rock
Foghat,Zig-Zag Walk,Rock
The Winans,The Question Is (Album Version),Christian
Toni Braxton,Best Friend,R&B
Republica,Pub Pusher,Electronic
Jars Of Clay,Don't Stop,Rock
Maximilian Hecker,Let Me Out,Pop
Dickies,Pretty Please Me,Rock
3 Doors Down,Here Without You,Rock
Barry Manilow,This One's For You,Pop
Busta Rhymes,When Disaster Strikes (Explicit LP Version),Hip Hop/Rap
Josh Turner,Softly And Tenderly,Country
Slum Village,CB4,Hip Hop/Rap
Simply Red,So Not Over You (Motivo-Pop Lectro Mix),Rock
Bon Jovi,Only Lonely,Rock
Erick Sermon,I'm Hot,Hip Hop/Rap
Mariah Carey,Touch My Body,Pop
Arc Angels,Sent By Angels,Blues
Randy Travis,Don't Take Your Love Away From Me (Album Version),Country
Bryan White,Love Happens Just Like That (LP Version),Country
The Roches,Losing True (Album Version),Rock
Guns N' Roses,Sweet Child O' Mine,Rock
Devo,Be Stiff (Live),Rock
Joe Bonamassa,So Many Roads,Rock
Blind Willie Johnson,John the Revelator,Blues
Erick Sermon,Erick Sermon,Hip Hop/Rap
Pepper,Point And Shoot (Demo),Rock
Blackfoot,Heart's Grown Cold (LP Version),Rock
EPMD,Head Banger,Hip Hop/Rap
Donnie McClurkin,Psalm 27,Christian
Bessie Smith,Chicago Bound Blues,Blues
Talking Heads,Papa Legba (2005 Digital Remaster),Rock
The Ataris,Make It Last,Rock
Winds Of Plague,Origins And Endings,Rock
Brooke Valentine,American Girl,Hip Hop/Rap
Behemoth,Malice,Rock
The Mighty Mighty Bosstones,Pictures To Prove It,Ska
The Cardigans,Marvel Hill,Rock
Kenny Rogers,Love Is What We Make It,Country
Mississippi John Hurt,Coffee Blues,Blues
Robert Palmer,Man Smart Woman Smarter,Soul
Leona Naess,Paper Thin,Rock
Vixen,One Night Alone,Electronic
Gorillaz,All Alone (Live),Hip Hop/Rap
Phil Collins,Please Come Out Tonight,Rock
Warrant,Bed Of Roses,Rock
Lil Wayne,Fly Talkin',Hip Hop/Rap
Seventh Day Slumber,Famous One,Rock
Firehouse,Talk Of The Town,Rock
Casiotone For The Painfully Alone,Attic Room,Jazz
The Prodigy,Firestarter,Electronic
Phil Collins,Testify,Rock
Adam Ant,Mohair Locker Room Pin-Up Boys,Rock
Gary Go,Open Arms,Pop
He Is Legend,Stampede,Rock
Cece Winans,Come On Back Home,Christian
bel canto,Rumour (Abstract Hip Hop Mix),Hip Hop/Rap
Remy Shand,The Second One,R&B
The Cardigans,Explode,Rock
Alicia Keys,Karma,R&B
Ned Miller,From A Jack To A King,Country
Grandmaster Flash,Underarms,Hip Hop/Rap
30 Seconds To Mars,End Of The Beginning,Rock
EPMD,For My People,Hip Hop/Rap
Naughty By Nature,Ring The Alarm,Hip Hop/Rap
Janet Jackson,Again (Instrumental),R&B
Ben Jelen,Come On (Sessions@AOL Version),Pop
Suicidal Tendencies,Looking In Your Eyes,Rock
Roger Creager,All For The Sake Of The Song,Country
Phil Collins,Everyday,Rock
Silverstein,Defend You (Album Version),Rock
Life In Your Way,When Rules Change,Rock
22-20s,Hold On,Rock
FFH,Listen,Christian
Patty Griffin,All Creatures Of Our God And King,Rock
Joey Negro,Make A Move On Me,Electronic
Bloc Party,Zephyrus,Rock
Atreyu,Shameful (LP Version),Rock
Hall & Oates,Fall in Philadelphia,Rock
Jimmy Wayne,She Runs,Country
Sister Hazel,Concede,Rock
Basement Jaxx,Feelings Gone (feat. Sam Sparro) (Joachim Garraud Remix),Electronic
Jesus Jones,Yellow Brown,Electronic
Deftones,No Ordinary Love (Remastered LP Version),Rock
Foghat,Dead End Street,Blues
UFO,Cherry,Rock
Queens Of The Stone Age,Everybody's Gonna Be Happy,Rock
George Harrison,All Things Must Pass (2009 Digital Remaster),Rock
George Michael,Shoot The Dog,Rock
3 Doors Down,Better Life,Rock
Radiohead,Everything In Its Right Place,Rock
Talib Kweli,Everything Man (Album Version),Hip Hop/Rap
Open Hand,Tough Guy,Rock
EPMD,I'm Mad,Hip Hop/Rap
Eddy Arnold,Molly Darling,Country
The Game,Scream On Em,Hip Hop/Rap
Dinosaur Jr,Green Mind,Rock
Jesse Malin,Harmony,Rock
Wednesday 13,Haunt Me (Album Version),Rock
Sandi Thom,When Horsepower Meant What It Said,Pop
Chimaira,Army Of Me (Album Version),Rock
The Ronettes,(The Best Part Of) Breakin' Up,Pop
Charlotte Gainsbourg,IRM,Pop
DMX,Look Thru My Eyes,Hip Hop/Rap
Public Image Ltd,This Is Not A Love Song,Rock
Joe Bonamassa,I Know A Place,Rock
Asleep At The Wheel,The Letter That Johnny Walker Read,Country
Bad Company,Crazy Circles,Rock
Phantom Planet,The Meantime,Rock
Madonna,Papa Don't Preach,Pop
The Jam,Start!,Rock
Drop Dead_ Gorgeous,Are You Happy (Album Version),Rock
Guns N' Roses,Patience,Rock
Dungeon Family,Follow The Light,Hip Hop/Rap
Strata,Night Falls (The Weight Of It),Rock
Tampa Red,No Matter How She Done It,Blues
Kanye West,Diamonds From Sierra Leone,Hip Hop/Rap
The Killers,A Dustland Fairytale,Rock
Minnie Riperton,Lovin' You,R&B
4Him,Strange Way To Save The World,Christian
